epoch,train_loss,val_loss,train_prec1,val_prec1,train_prec5,val_prec5,best_val_epoch,best_prec1_val,best_test_epoch,best_prec1_test
1,"tensor(2.0372, device='cuda:0')","tensor(1.8740, device='cuda:0')","tensor(24.9920, device='cuda:0')","tensor(30.8200, device='cuda:0')","tensor(78.0880, device='cuda:0')","tensor(86., device='cuda:0')",1,"tensor(30.8200, device='cuda:0')",0,0.0
2,"tensor(1.7655, device='cuda:0')","tensor(1.6619, device='cuda:0')","tensor(34.7540, device='cuda:0')","tensor(38.8300, device='cuda:0')","tensor(87.4200, device='cuda:0')","tensor(89.7300, device='cuda:0')",2,"tensor(38.8300, device='cuda:0')",0,0.0
3,"tensor(1.6310, device='cuda:0')","tensor(1.5499, device='cuda:0')","tensor(40.3720, device='cuda:0')","tensor(43.6200, device='cuda:0')","tensor(89.6700, device='cuda:0')","tensor(91.5300, device='cuda:0')",3,"tensor(43.6200, device='cuda:0')",0,0.0
4,"tensor(1.5454, device='cuda:0')","tensor(1.5421, device='cuda:0')","tensor(43.6460, device='cuda:0')","tensor(43.9100, device='cuda:0')","tensor(91.0500, device='cuda:0')","tensor(91.1900, device='cuda:0')",4,"tensor(43.9100, device='cuda:0')",0,0.0
5,"tensor(1.4574, device='cuda:0')","tensor(1.4393, device='cuda:0')","tensor(47.3180, device='cuda:0')","tensor(47.8500, device='cuda:0')","tensor(92.3920, device='cuda:0')","tensor(93.3500, device='cuda:0')",5,"tensor(47.8500, device='cuda:0')",0,0.0
6,"tensor(1.3854, device='cuda:0')","tensor(1.3545, device='cuda:0')","tensor(50.4080, device='cuda:0')","tensor(51.7300, device='cuda:0')","tensor(93.3400, device='cuda:0')","tensor(93.9800, device='cuda:0')",6,"tensor(51.7300, device='cuda:0')",0,0.0
7,"tensor(1.3187, device='cuda:0')","tensor(1.3085, device='cuda:0')","tensor(53.1180, device='cuda:0')","tensor(53.7800, device='cuda:0')","tensor(94.0560, device='cuda:0')","tensor(94.6500, device='cuda:0')",7,"tensor(53.7800, device='cuda:0')",0,0.0
8,"tensor(1.2555, device='cuda:0')","tensor(1.3459, device='cuda:0')","tensor(55.6300, device='cuda:0')","tensor(52.6200, device='cuda:0')","tensor(94.5440, device='cuda:0')","tensor(93.5400, device='cuda:0')",7,"tensor(53.7800, device='cuda:0')",0,0.0
9,"tensor(1.2038, device='cuda:0')","tensor(1.2674, device='cuda:0')","tensor(57.5320, device='cuda:0')","tensor(54.8000, device='cuda:0')","tensor(94.9600, device='cuda:0')","tensor(94.6700, device='cuda:0')",9,"tensor(54.8000, device='cuda:0')",0,0.0
10,"tensor(1.1679, device='cuda:0')","tensor(1.3109, device='cuda:0')","tensor(58.8300, device='cuda:0')","tensor(53.4100, device='cuda:0')","tensor(95.4280, device='cuda:0')","tensor(94.4900, device='cuda:0')",9,"tensor(54.8000, device='cuda:0')",0,0.0
11,"tensor(1.1428, device='cuda:0')","tensor(1.0768, device='cuda:0')","tensor(59.9320, device='cuda:0')","tensor(62.6900, device='cuda:0')","tensor(95.6500, device='cuda:0')","tensor(96.3100, device='cuda:0')",11,"tensor(62.6900, device='cuda:0')",0,0.0
12,"tensor(1.1089, device='cuda:0')","tensor(1.3830, device='cuda:0')","tensor(61.1580, device='cuda:0')","tensor(53.2300, device='cuda:0')","tensor(95.8920, device='cuda:0')","tensor(93.2000, device='cuda:0')",11,"tensor(62.6900, device='cuda:0')",0,0.0
13,"tensor(1.0938, device='cuda:0')","tensor(2.0865, device='cuda:0')","tensor(61.7660, device='cuda:0')","tensor(37.5000, device='cuda:0')","tensor(96.1640, device='cuda:0')","tensor(78.0500, device='cuda:0')",11,"tensor(62.6900, device='cuda:0')",0,0.0
14,"tensor(1.0647, device='cuda:0')","tensor(1.4599, device='cuda:0')","tensor(63.0520, device='cuda:0')","tensor(50., device='cuda:0')","tensor(96.3820, device='cuda:0')","tensor(91.5100, device='cuda:0')",11,"tensor(62.6900, device='cuda:0')",0,0.0
15,"tensor(1.0553, device='cuda:0')","tensor(1.3140, device='cuda:0')","tensor(63.2680, device='cuda:0')","tensor(55.9900, device='cuda:0')","tensor(96.3760, device='cuda:0')","tensor(92.0200, device='cuda:0')",11,"tensor(62.6900, device='cuda:0')",0,0.0
16,"tensor(1.0373, device='cuda:0')","tensor(1.4157, device='cuda:0')","tensor(64.0720, device='cuda:0')","tensor(50.3600, device='cuda:0')","tensor(96.4300, device='cuda:0')","tensor(92.3400, device='cuda:0')",11,"tensor(62.6900, device='cuda:0')",0,0.0
17,"tensor(1.0240, device='cuda:0')","tensor(1.2181, device='cuda:0')","tensor(64.4600, device='cuda:0')","tensor(58.1400, device='cuda:0')","tensor(96.6820, device='cuda:0')","tensor(94.2300, device='cuda:0')",11,"tensor(62.6900, device='cuda:0')",0,0.0
18,"tensor(1.0196, device='cuda:0')","tensor(1.3255, device='cuda:0')","tensor(64.7600, device='cuda:0')","tensor(54.9500, device='cuda:0')","tensor(96.6380, device='cuda:0')","tensor(94.4300, device='cuda:0')",11,"tensor(62.6900, device='cuda:0')",0,0.0
19,"tensor(1.0048, device='cuda:0')","tensor(1.1867, device='cuda:0')","tensor(65.1080, device='cuda:0')","tensor(59.3200, device='cuda:0')","tensor(96.7460, device='cuda:0')","tensor(95.6000, device='cuda:0')",11,"tensor(62.6900, device='cuda:0')",0,0.0
20,"tensor(0.9975, device='cuda:0')","tensor(1.2377, device='cuda:0')","tensor(65.4300, device='cuda:0')","tensor(57.1200, device='cuda:0')","tensor(96.8200, device='cuda:0')","tensor(94.1900, device='cuda:0')",11,"tensor(62.6900, device='cuda:0')",0,0.0
21,"tensor(0.9896, device='cuda:0')","tensor(1.4191, device='cuda:0')","tensor(65.7100, device='cuda:0')","tensor(50.5600, device='cuda:0')","tensor(96.7880, device='cuda:0')","tensor(93.2100, device='cuda:0')",11,"tensor(62.6900, device='cuda:0')",0,0.0
22,"tensor(0.9723, device='cuda:0')","tensor(1.2376, device='cuda:0')","tensor(66.0540, device='cuda:0')","tensor(57.5700, device='cuda:0')","tensor(97.0640, device='cuda:0')","tensor(94.7500, device='cuda:0')",11,"tensor(62.6900, device='cuda:0')",0,0.0
23,"tensor(0.9616, device='cuda:0')","tensor(1.1845, device='cuda:0')","tensor(66.9600, device='cuda:0')","tensor(57.6600, device='cuda:0')","tensor(97.0660, device='cuda:0')","tensor(95.8800, device='cuda:0')",11,"tensor(62.6900, device='cuda:0')",0,0.0
24,"tensor(0.9394, device='cuda:0')","tensor(1.2151, device='cuda:0')","tensor(67.8560, device='cuda:0')","tensor(57.9400, device='cuda:0')","tensor(97.1640, device='cuda:0')","tensor(94.8900, device='cuda:0')",11,"tensor(62.6900, device='cuda:0')",0,0.0
25,"tensor(0.9360, device='cuda:0')","tensor(1.3426, device='cuda:0')","tensor(67.7320, device='cuda:0')","tensor(55.6600, device='cuda:0')","tensor(97.1740, device='cuda:0')","tensor(94.2600, device='cuda:0')",11,"tensor(62.6900, device='cuda:0')",0,0.0
26,"tensor(0.9166, device='cuda:0')","tensor(0.9766, device='cuda:0')","tensor(68.3500, device='cuda:0')","tensor(66.3300, device='cuda:0')","tensor(97.3440, device='cuda:0')","tensor(97.0500, device='cuda:0')",26,"tensor(66.3300, device='cuda:0')",0,0.0
27,"tensor(0.9087, device='cuda:0')","tensor(1.0165, device='cuda:0')","tensor(68.9540, device='cuda:0')","tensor(65.1900, device='cuda:0')","tensor(97.3620, device='cuda:0')","tensor(96.8800, device='cuda:0')",26,"tensor(66.3300, device='cuda:0')",0,0.0
28,"tensor(0.8912, device='cuda:0')","tensor(1.2857, device='cuda:0')","tensor(69.3200, device='cuda:0')","tensor(56.4300, device='cuda:0')","tensor(97.5240, device='cuda:0')","tensor(93.6100, device='cuda:0')",26,"tensor(66.3300, device='cuda:0')",0,0.0
29,"tensor(0.8740, device='cuda:0')","tensor(1.5752, device='cuda:0')","tensor(70.1100, device='cuda:0')","tensor(51.0300, device='cuda:0')","tensor(97.5820, device='cuda:0')","tensor(88.0500, device='cuda:0')",26,"tensor(66.3300, device='cuda:0')",0,0.0
30,"tensor(0.8605, device='cuda:0')","tensor(1.8173, device='cuda:0')","tensor(70.5020, device='cuda:0')","tensor(45.3500, device='cuda:0')","tensor(97.6880, device='cuda:0')","tensor(85.5100, device='cuda:0')",26,"tensor(66.3300, device='cuda:0')",0,0.0
31,"tensor(0.8556, device='cuda:0')","tensor(0.8739, device='cuda:0')","tensor(70.9360, device='cuda:0')","tensor(69.8700, device='cuda:0')","tensor(97.7960, device='cuda:0')","tensor(97.6200, device='cuda:0')",31,"tensor(69.8700, device='cuda:0')",0,0.0
