epoch,train_loss,val_loss,test_loss,train_prec1,val_prec1,test_prec1,train_prec5,val_prec5,test_prec5,best_val_epoch,best_prec1_val,best_test_epoch,best_prec1_test
140,"tensor(0.0613, device='cuda:0')","tensor(0.3571, device='cuda:0')","tensor(0.3658, device='cuda:0')","tensor(97.9422, device='cuda:0')","tensor(90.5600, device='cuda:0')","tensor(90.3800, device='cuda:0')","tensor(99.9978, device='cuda:0')","tensor(99.6800, device='cuda:0')","tensor(99.6700, device='cuda:0')",133,"tensor(90.6000, device='cuda:0')",139,"tensor(90.3800, device='cuda:0')"
141,"tensor(0.0601, device='cuda:0')","tensor(0.3603, device='cuda:0')","tensor(0.3777, device='cuda:0')","tensor(97.9644, device='cuda:0')","tensor(90.2200, device='cuda:0')","tensor(89.8500, device='cuda:0')","tensor(99.9978, device='cuda:0')","tensor(99.5600, device='cuda:0')","tensor(99.5100, device='cuda:0')",133,"tensor(90.6000, device='cuda:0')",139,"tensor(90.3800, device='cuda:0')"
142,"tensor(0.0581, device='cuda:0')","tensor(0.3767, device='cuda:0')","tensor(0.3755, device='cuda:0')","tensor(98.0089, device='cuda:0')","tensor(90.6600, device='cuda:0')","tensor(90.1200, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.5800, device='cuda:0')","tensor(99.5600, device='cuda:0')",142,"tensor(90.6600, device='cuda:0')",139,"tensor(90.3800, device='cuda:0')"
143,"tensor(0.0587, device='cuda:0')","tensor(0.3656, device='cuda:0')","tensor(0.3731, device='cuda:0')","tensor(97.9222, device='cuda:0')","tensor(90.3800, device='cuda:0')","tensor(90.0900, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.7400, device='cuda:0')","tensor(99.6000, device='cuda:0')",142,"tensor(90.6600, device='cuda:0')",139,"tensor(90.3800, device='cuda:0')"
144,"tensor(0.0609, device='cuda:0')","tensor(0.3825, device='cuda:0')","tensor(0.3707, device='cuda:0')","tensor(97.9089, device='cuda:0')","tensor(90.2400, device='cuda:0')","tensor(89.8700, device='cuda:0')","tensor(99.9933, device='cuda:0')","tensor(99.5800, device='cuda:0')","tensor(99.6000, device='cuda:0')",142,"tensor(90.6600, device='cuda:0')",139,"tensor(90.3800, device='cuda:0')"
145,"tensor(0.0613, device='cuda:0')","tensor(0.3769, device='cuda:0')","tensor(0.3751, device='cuda:0')","tensor(97.9311, device='cuda:0')","tensor(90.4000, device='cuda:0')","tensor(90.3500, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.6600, device='cuda:0')","tensor(99.5600, device='cuda:0')",142,"tensor(90.6600, device='cuda:0')",139,"tensor(90.3800, device='cuda:0')"
146,"tensor(0.0589, device='cuda:0')","tensor(0.3574, device='cuda:0')","tensor(0.3757, device='cuda:0')","tensor(98.0356, device='cuda:0')","tensor(90.3200, device='cuda:0')","tensor(89.8900, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.6400, device='cuda:0')","tensor(99.5500, device='cuda:0')",142,"tensor(90.6600, device='cuda:0')",139,"tensor(90.3800, device='cuda:0')"
147,"tensor(0.0577, device='cuda:0')","tensor(0.3682, device='cuda:0')","tensor(0.3661, device='cuda:0')","tensor(98.0733, device='cuda:0')","tensor(90.3600, device='cuda:0')","tensor(90.5700, device='cuda:0')","tensor(99.9978, device='cuda:0')","tensor(99.6400, device='cuda:0')","tensor(99.6100, device='cuda:0')",142,"tensor(90.6600, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
148,"tensor(0.0557, device='cuda:0')","tensor(0.3732, device='cuda:0')","tensor(0.3625, device='cuda:0')","tensor(98.1089, device='cuda:0')","tensor(90.0400, device='cuda:0')","tensor(90.4300, device='cuda:0')","tensor(99.9911, device='cuda:0')","tensor(99.7400, device='cuda:0')","tensor(99.6100, device='cuda:0')",142,"tensor(90.6600, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
149,"tensor(0.0581, device='cuda:0')","tensor(0.3678, device='cuda:0')","tensor(0.3820, device='cuda:0')","tensor(98.0022, device='cuda:0')","tensor(90.4200, device='cuda:0')","tensor(90.3500, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.6400, device='cuda:0')","tensor(99.5200, device='cuda:0')",142,"tensor(90.6600, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
150,"tensor(0.0580, device='cuda:0')","tensor(0.3582, device='cuda:0')","tensor(0.3750, device='cuda:0')","tensor(98.0200, device='cuda:0')","tensor(90.3800, device='cuda:0')","tensor(90.3000, device='cuda:0')","tensor(99.9978, device='cuda:0')","tensor(99.5800, device='cuda:0')","tensor(99.5000, device='cuda:0')",142,"tensor(90.6600, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
151,"tensor(0.0596, device='cuda:0')","tensor(0.3526, device='cuda:0')","tensor(0.3811, device='cuda:0')","tensor(98.0044, device='cuda:0')","tensor(90.7800, device='cuda:0')","tensor(89.9500, device='cuda:0')","tensor(99.9889, device='cuda:0')","tensor(99.6600, device='cuda:0')","tensor(99.6400, device='cuda:0')",151,"tensor(90.7800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
152,"tensor(0.0543, device='cuda:0')","tensor(0.3771, device='cuda:0')","tensor(0.3780, device='cuda:0')","tensor(98.0978, device='cuda:0')","tensor(90.0200, device='cuda:0')","tensor(90.3200, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.6600, device='cuda:0')","tensor(99.6000, device='cuda:0')",151,"tensor(90.7800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
153,"tensor(0.0529, device='cuda:0')","tensor(0.3627, device='cuda:0')","tensor(0.3825, device='cuda:0')","tensor(98.1489, device='cuda:0')","tensor(90.6000, device='cuda:0')","tensor(90.2100, device='cuda:0')","tensor(99.9933, device='cuda:0')","tensor(99.6800, device='cuda:0')","tensor(99.5100, device='cuda:0')",151,"tensor(90.7800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
154,"tensor(0.0557, device='cuda:0')","tensor(0.3655, device='cuda:0')","tensor(0.3805, device='cuda:0')","tensor(98.1200, device='cuda:0')","tensor(90.6600, device='cuda:0')","tensor(90.0700, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.6200, device='cuda:0')","tensor(99.5100, device='cuda:0')",151,"tensor(90.7800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
155,"tensor(0.0524, device='cuda:0')","tensor(0.3750, device='cuda:0')","tensor(0.3769, device='cuda:0')","tensor(98.2022, device='cuda:0')","tensor(90.2000, device='cuda:0')","tensor(90.2600, device='cuda:0')","tensor(100., device='cuda:0')","tensor(99.6200, device='cuda:0')","tensor(99.5700, device='cuda:0')",151,"tensor(90.7800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
156,"tensor(0.0531, device='cuda:0')","tensor(0.3810, device='cuda:0')","tensor(0.3729, device='cuda:0')","tensor(98.2244, device='cuda:0')","tensor(90.1200, device='cuda:0')","tensor(90.1900, device='cuda:0')","tensor(99.9933, device='cuda:0')","tensor(99.6800, device='cuda:0')","tensor(99.7000, device='cuda:0')",151,"tensor(90.7800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
157,"tensor(0.0514, device='cuda:0')","tensor(0.3615, device='cuda:0')","tensor(0.3796, device='cuda:0')","tensor(98.2556, device='cuda:0')","tensor(90.5200, device='cuda:0')","tensor(90.1200, device='cuda:0')","tensor(99.9911, device='cuda:0')","tensor(99.6400, device='cuda:0')","tensor(99.6700, device='cuda:0')",151,"tensor(90.7800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
158,"tensor(0.0541, device='cuda:0')","tensor(0.3788, device='cuda:0')","tensor(0.3807, device='cuda:0')","tensor(98.1644, device='cuda:0')","tensor(90.4400, device='cuda:0')","tensor(90.3200, device='cuda:0')","tensor(99.9933, device='cuda:0')","tensor(99.6000, device='cuda:0')","tensor(99.6300, device='cuda:0')",151,"tensor(90.7800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
159,"tensor(0.0530, device='cuda:0')","tensor(0.3680, device='cuda:0')","tensor(0.3910, device='cuda:0')","tensor(98.1933, device='cuda:0')","tensor(90.2800, device='cuda:0')","tensor(89.7500, device='cuda:0')","tensor(100., device='cuda:0')","tensor(99.6400, device='cuda:0')","tensor(99.5400, device='cuda:0')",151,"tensor(90.7800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
160,"tensor(0.0528, device='cuda:0')","tensor(0.3592, device='cuda:0')","tensor(0.3793, device='cuda:0')","tensor(98.2089, device='cuda:0')","tensor(90.8000, device='cuda:0')","tensor(90.3400, device='cuda:0')","tensor(99.9978, device='cuda:0')","tensor(99.7200, device='cuda:0')","tensor(99.4800, device='cuda:0')",160,"tensor(90.8000, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
161,"tensor(0.0542, device='cuda:0')","tensor(0.3587, device='cuda:0')","tensor(0.3798, device='cuda:0')","tensor(98.1333, device='cuda:0')","tensor(90.8600, device='cuda:0')","tensor(90.4200, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.7600, device='cuda:0')","tensor(99.5000, device='cuda:0')",161,"tensor(90.8600, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
162,"tensor(0.0525, device='cuda:0')","tensor(0.3687, device='cuda:0')","tensor(0.3905, device='cuda:0')","tensor(98.2200, device='cuda:0')","tensor(90.6000, device='cuda:0')","tensor(90.0900, device='cuda:0')","tensor(99.9911, device='cuda:0')","tensor(99.7400, device='cuda:0')","tensor(99.5100, device='cuda:0')",161,"tensor(90.8600, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
163,"tensor(0.0547, device='cuda:0')","tensor(0.3721, device='cuda:0')","tensor(0.3948, device='cuda:0')","tensor(98.2000, device='cuda:0')","tensor(90.6200, device='cuda:0')","tensor(90.0500, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.6000, device='cuda:0')","tensor(99.5500, device='cuda:0')",161,"tensor(90.8600, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
164,"tensor(0.0534, device='cuda:0')","tensor(0.3649, device='cuda:0')","tensor(0.3839, device='cuda:0')","tensor(98.1489, device='cuda:0')","tensor(90.7800, device='cuda:0')","tensor(90.1900, device='cuda:0')","tensor(99.9978, device='cuda:0')","tensor(99.7200, device='cuda:0')","tensor(99.5400, device='cuda:0')",161,"tensor(90.8600, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
165,"tensor(0.0521, device='cuda:0')","tensor(0.3769, device='cuda:0')","tensor(0.3770, device='cuda:0')","tensor(98.2733, device='cuda:0')","tensor(90.5400, device='cuda:0')","tensor(90.1500, device='cuda:0')","tensor(99.9933, device='cuda:0')","tensor(99.6400, device='cuda:0')","tensor(99.5900, device='cuda:0')",161,"tensor(90.8600, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
166,"tensor(0.0532, device='cuda:0')","tensor(0.3584, device='cuda:0')","tensor(0.3718, device='cuda:0')","tensor(98.1600, device='cuda:0')","tensor(90.4200, device='cuda:0')","tensor(89.8600, device='cuda:0')","tensor(99.9933, device='cuda:0')","tensor(99.7200, device='cuda:0')","tensor(99.6100, device='cuda:0')",161,"tensor(90.8600, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
167,"tensor(0.0479, device='cuda:0')","tensor(0.3648, device='cuda:0')","tensor(0.3801, device='cuda:0')","tensor(98.4289, device='cuda:0')","tensor(91.0800, device='cuda:0')","tensor(90.2000, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.6800, device='cuda:0')","tensor(99.5700, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
168,"tensor(0.0516, device='cuda:0')","tensor(0.3765, device='cuda:0')","tensor(0.3702, device='cuda:0')","tensor(98.3089, device='cuda:0')","tensor(90.5200, device='cuda:0')","tensor(90.4500, device='cuda:0')","tensor(100., device='cuda:0')","tensor(99.7600, device='cuda:0')","tensor(99.5200, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
169,"tensor(0.0500, device='cuda:0')","tensor(0.3461, device='cuda:0')","tensor(0.3722, device='cuda:0')","tensor(98.3378, device='cuda:0')","tensor(90.8800, device='cuda:0')","tensor(90.2700, device='cuda:0')","tensor(100., device='cuda:0')","tensor(99.7000, device='cuda:0')","tensor(99.5800, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
170,"tensor(0.0498, device='cuda:0')","tensor(0.3763, device='cuda:0')","tensor(0.3796, device='cuda:0')","tensor(98.2578, device='cuda:0')","tensor(90.8200, device='cuda:0')","tensor(90.0400, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.6600, device='cuda:0')","tensor(99.5600, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
171,"tensor(0.0526, device='cuda:0')","tensor(0.3766, device='cuda:0')","tensor(0.3808, device='cuda:0')","tensor(98.2244, device='cuda:0')","tensor(90.4600, device='cuda:0')","tensor(90.2400, device='cuda:0')","tensor(99.9933, device='cuda:0')","tensor(99.6000, device='cuda:0')","tensor(99.4300, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
172,"tensor(0.0491, device='cuda:0')","tensor(0.3774, device='cuda:0')","tensor(0.3717, device='cuda:0')","tensor(98.3244, device='cuda:0')","tensor(90.3800, device='cuda:0')","tensor(90.3400, device='cuda:0')","tensor(100., device='cuda:0')","tensor(99.7600, device='cuda:0')","tensor(99.5700, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
173,"tensor(0.0499, device='cuda:0')","tensor(0.3662, device='cuda:0')","tensor(0.3645, device='cuda:0')","tensor(98.3022, device='cuda:0')","tensor(90.4400, device='cuda:0')","tensor(90.1100, device='cuda:0')","tensor(99.9978, device='cuda:0')","tensor(99.6800, device='cuda:0')","tensor(99.6100, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
174,"tensor(0.0526, device='cuda:0')","tensor(0.3535, device='cuda:0')","tensor(0.3614, device='cuda:0')","tensor(98.2000, device='cuda:0')","tensor(91.0800, device='cuda:0')","tensor(90.4700, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.7000, device='cuda:0')","tensor(99.5600, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
175,"tensor(0.0492, device='cuda:0')","tensor(0.3704, device='cuda:0')","tensor(0.3877, device='cuda:0')","tensor(98.3667, device='cuda:0')","tensor(90.7000, device='cuda:0')","tensor(90.3700, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.5800, device='cuda:0')","tensor(99.4700, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
176,"tensor(0.0503, device='cuda:0')","tensor(0.3733, device='cuda:0')","tensor(0.3821, device='cuda:0')","tensor(98.3067, device='cuda:0')","tensor(90.6200, device='cuda:0')","tensor(90.0900, device='cuda:0')","tensor(99.9978, device='cuda:0')","tensor(99.4600, device='cuda:0')","tensor(99.5100, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
177,"tensor(0.0461, device='cuda:0')","tensor(0.3640, device='cuda:0')","tensor(0.3881, device='cuda:0')","tensor(98.4822, device='cuda:0')","tensor(90.8200, device='cuda:0')","tensor(89.9400, device='cuda:0')","tensor(99.9978, device='cuda:0')","tensor(99.6400, device='cuda:0')","tensor(99.5200, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
178,"tensor(0.0478, device='cuda:0')","tensor(0.3645, device='cuda:0')","tensor(0.3813, device='cuda:0')","tensor(98.4067, device='cuda:0')","tensor(90.7400, device='cuda:0')","tensor(90.3000, device='cuda:0')","tensor(99.9933, device='cuda:0')","tensor(99.6400, device='cuda:0')","tensor(99.5900, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
179,"tensor(0.0478, device='cuda:0')","tensor(0.3553, device='cuda:0')","tensor(0.3847, device='cuda:0')","tensor(98.3378, device='cuda:0')","tensor(90.4000, device='cuda:0')","tensor(90.1200, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.7600, device='cuda:0')","tensor(99.6000, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
180,"tensor(0.0490, device='cuda:0')","tensor(0.3730, device='cuda:0')","tensor(0.3896, device='cuda:0')","tensor(98.3133, device='cuda:0')","tensor(90.6200, device='cuda:0')","tensor(90.1300, device='cuda:0')","tensor(100., device='cuda:0')","tensor(99.6400, device='cuda:0')","tensor(99.6500, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
181,"tensor(0.0489, device='cuda:0')","tensor(0.3735, device='cuda:0')","tensor(0.3801, device='cuda:0')","tensor(98.3467, device='cuda:0')","tensor(90.6200, device='cuda:0')","tensor(90.5600, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.6400, device='cuda:0')","tensor(99.4800, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
182,"tensor(0.0488, device='cuda:0')","tensor(0.3694, device='cuda:0')","tensor(0.3846, device='cuda:0')","tensor(98.2867, device='cuda:0')","tensor(90.6000, device='cuda:0')","tensor(90.1800, device='cuda:0')","tensor(99.9978, device='cuda:0')","tensor(99.7400, device='cuda:0')","tensor(99.5100, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
183,"tensor(0.0489, device='cuda:0')","tensor(0.3641, device='cuda:0')","tensor(0.3843, device='cuda:0')","tensor(98.3400, device='cuda:0')","tensor(90.9000, device='cuda:0')","tensor(90.2200, device='cuda:0')","tensor(100., device='cuda:0')","tensor(99.6800, device='cuda:0')","tensor(99.5800, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
184,"tensor(0.0483, device='cuda:0')","tensor(0.3560, device='cuda:0')","tensor(0.3761, device='cuda:0')","tensor(98.3711, device='cuda:0')","tensor(91., device='cuda:0')","tensor(90.1800, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.6200, device='cuda:0')","tensor(99.5100, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
185,"tensor(0.0501, device='cuda:0')","tensor(0.3614, device='cuda:0')","tensor(0.3755, device='cuda:0')","tensor(98.2911, device='cuda:0')","tensor(90.4200, device='cuda:0')","tensor(90.1200, device='cuda:0')","tensor(100., device='cuda:0')","tensor(99.6000, device='cuda:0')","tensor(99.4800, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
186,"tensor(0.0509, device='cuda:0')","tensor(0.3836, device='cuda:0')","tensor(0.3852, device='cuda:0')","tensor(98.2889, device='cuda:0')","tensor(89.9400, device='cuda:0')","tensor(89.9500, device='cuda:0')","tensor(99.9978, device='cuda:0')","tensor(99.7600, device='cuda:0')","tensor(99.5800, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
187,"tensor(0.0458, device='cuda:0')","tensor(0.3713, device='cuda:0')","tensor(0.3821, device='cuda:0')","tensor(98.4422, device='cuda:0')","tensor(90.5200, device='cuda:0')","tensor(90.4300, device='cuda:0')","tensor(100., device='cuda:0')","tensor(99.5600, device='cuda:0')","tensor(99.6200, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
188,"tensor(0.0481, device='cuda:0')","tensor(0.3633, device='cuda:0')","tensor(0.3672, device='cuda:0')","tensor(98.3733, device='cuda:0')","tensor(90.6200, device='cuda:0')","tensor(90.5600, device='cuda:0')","tensor(99.9911, device='cuda:0')","tensor(99.7600, device='cuda:0')","tensor(99.6100, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
189,"tensor(0.0474, device='cuda:0')","tensor(0.3754, device='cuda:0')","tensor(0.3871, device='cuda:0')","tensor(98.3600, device='cuda:0')","tensor(90.8600, device='cuda:0')","tensor(90.1900, device='cuda:0')","tensor(99.9933, device='cuda:0')","tensor(99.7400, device='cuda:0')","tensor(99.5300, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
190,"tensor(0.0483, device='cuda:0')","tensor(0.3634, device='cuda:0')","tensor(0.3841, device='cuda:0')","tensor(98.3511, device='cuda:0')","tensor(90.3800, device='cuda:0')","tensor(90.1900, device='cuda:0')","tensor(99.9933, device='cuda:0')","tensor(99.6200, device='cuda:0')","tensor(99.6300, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
191,"tensor(0.0454, device='cuda:0')","tensor(0.3733, device='cuda:0')","tensor(0.3851, device='cuda:0')","tensor(98.4311, device='cuda:0')","tensor(90.7200, device='cuda:0')","tensor(90.2800, device='cuda:0')","tensor(100., device='cuda:0')","tensor(99.6800, device='cuda:0')","tensor(99.4600, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
192,"tensor(0.0435, device='cuda:0')","tensor(0.3683, device='cuda:0')","tensor(0.3838, device='cuda:0')","tensor(98.5467, device='cuda:0')","tensor(90.7800, device='cuda:0')","tensor(90.5000, device='cuda:0')","tensor(100., device='cuda:0')","tensor(99.7200, device='cuda:0')","tensor(99.5400, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
193,"tensor(0.0501, device='cuda:0')","tensor(0.3714, device='cuda:0')","tensor(0.3779, device='cuda:0')","tensor(98.2733, device='cuda:0')","tensor(90.4200, device='cuda:0')","tensor(90.4800, device='cuda:0')","tensor(100., device='cuda:0')","tensor(99.6200, device='cuda:0')","tensor(99.5300, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
194,"tensor(0.0479, device='cuda:0')","tensor(0.3710, device='cuda:0')","tensor(0.3794, device='cuda:0')","tensor(98.3600, device='cuda:0')","tensor(90.7400, device='cuda:0')","tensor(90.4300, device='cuda:0')","tensor(99.9911, device='cuda:0')","tensor(99.7200, device='cuda:0')","tensor(99.5300, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",147,"tensor(90.5700, device='cuda:0')"
195,"tensor(0.0482, device='cuda:0')","tensor(0.3694, device='cuda:0')","tensor(0.3704, device='cuda:0')","tensor(98.3222, device='cuda:0')","tensor(90.5000, device='cuda:0')","tensor(90.6100, device='cuda:0')","tensor(100., device='cuda:0')","tensor(99.6200, device='cuda:0')","tensor(99.6100, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",195,"tensor(90.6100, device='cuda:0')"
196,"tensor(0.0439, device='cuda:0')","tensor(0.3622, device='cuda:0')","tensor(0.3821, device='cuda:0')","tensor(98.5489, device='cuda:0')","tensor(90.9600, device='cuda:0')","tensor(90.1900, device='cuda:0')","tensor(100., device='cuda:0')","tensor(99.7200, device='cuda:0')","tensor(99.4800, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",195,"tensor(90.6100, device='cuda:0')"
197,"tensor(0.0440, device='cuda:0')","tensor(0.3855, device='cuda:0')","tensor(0.3827, device='cuda:0')","tensor(98.5378, device='cuda:0')","tensor(90.2600, device='cuda:0')","tensor(90.1000, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.6800, device='cuda:0')","tensor(99.5900, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",195,"tensor(90.6100, device='cuda:0')"
198,"tensor(0.0461, device='cuda:0')","tensor(0.3749, device='cuda:0')","tensor(0.3806, device='cuda:0')","tensor(98.4244, device='cuda:0')","tensor(90.5800, device='cuda:0')","tensor(90.2700, device='cuda:0')","tensor(99.9978, device='cuda:0')","tensor(99.6000, device='cuda:0')","tensor(99.6100, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",195,"tensor(90.6100, device='cuda:0')"
199,"tensor(0.0450, device='cuda:0')","tensor(0.3701, device='cuda:0')","tensor(0.3816, device='cuda:0')","tensor(98.4800, device='cuda:0')","tensor(91.0600, device='cuda:0')","tensor(90.0800, device='cuda:0')","tensor(99.9978, device='cuda:0')","tensor(99.6400, device='cuda:0')","tensor(99.5800, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",195,"tensor(90.6100, device='cuda:0')"
200,"tensor(0.0474, device='cuda:0')","tensor(0.3631, device='cuda:0')","tensor(0.3894, device='cuda:0')","tensor(98.4222, device='cuda:0')","tensor(90.7600, device='cuda:0')","tensor(90.0800, device='cuda:0')","tensor(99.9978, device='cuda:0')","tensor(99.7000, device='cuda:0')","tensor(99.6000, device='cuda:0')",167,"tensor(91.0800, device='cuda:0')",195,"tensor(90.6100, device='cuda:0')"
