epoch,train_loss,val_loss,test_loss,train_prec1,val_prec1,test_prec1,train_prec5,val_prec5,test_prec5,best_val_epoch,best_prec1_val,best_test_epoch,best_prec1_test
95,"tensor(0.1281, device='cuda:0')","tensor(0.3454, device='cuda:0')","tensor(0.3676, device='cuda:0')","tensor(95.5756, device='cuda:0')","tensor(89.3800, device='cuda:0')","tensor(88.8400, device='cuda:0')","tensor(99.9756, device='cuda:0')","tensor(99.5400, device='cuda:0')","tensor(99.5000, device='cuda:0')",91,"tensor(89.7600, device='cuda:0')",90,"tensor(89.3400, device='cuda:0')"
96,"tensor(0.1252, device='cuda:0')","tensor(0.3409, device='cuda:0')","tensor(0.3570, device='cuda:0')","tensor(95.8444, device='cuda:0')","tensor(89.6600, device='cuda:0')","tensor(89.4000, device='cuda:0')","tensor(99.9689, device='cuda:0')","tensor(99.6600, device='cuda:0')","tensor(99.5800, device='cuda:0')",91,"tensor(89.7600, device='cuda:0')",96,"tensor(89.4000, device='cuda:0')"
97,"tensor(0.1239, device='cuda:0')","tensor(0.3588, device='cuda:0')","tensor(0.3773, device='cuda:0')","tensor(95.7533, device='cuda:0')","tensor(88.8400, device='cuda:0')","tensor(88.5300, device='cuda:0')","tensor(99.9733, device='cuda:0')","tensor(99.5600, device='cuda:0')","tensor(99.5200, device='cuda:0')",91,"tensor(89.7600, device='cuda:0')",96,"tensor(89.4000, device='cuda:0')"
98,"tensor(0.1190, device='cuda:0')","tensor(0.3617, device='cuda:0')","tensor(0.3673, device='cuda:0')","tensor(95.8556, device='cuda:0')","tensor(89.6600, device='cuda:0')","tensor(89.2800, device='cuda:0')","tensor(99.9756, device='cuda:0')","tensor(99.6600, device='cuda:0')","tensor(99.5300, device='cuda:0')",91,"tensor(89.7600, device='cuda:0')",96,"tensor(89.4000, device='cuda:0')"
99,"tensor(0.1190, device='cuda:0')","tensor(0.3322, device='cuda:0')","tensor(0.3456, device='cuda:0')","tensor(95.8600, device='cuda:0')","tensor(89.9600, device='cuda:0')","tensor(89.3300, device='cuda:0')","tensor(99.9711, device='cuda:0')","tensor(99.6000, device='cuda:0')","tensor(99.6400, device='cuda:0')",99,"tensor(89.9600, device='cuda:0')",96,"tensor(89.4000, device='cuda:0')"
100,"tensor(0.1131, device='cuda:0')","tensor(0.3663, device='cuda:0')","tensor(0.3833, device='cuda:0')","tensor(96.0933, device='cuda:0')","tensor(89.2000, device='cuda:0')","tensor(88.9000, device='cuda:0')","tensor(99.9711, device='cuda:0')","tensor(99.6200, device='cuda:0')","tensor(99.5500, device='cuda:0')",99,"tensor(89.9600, device='cuda:0')",96,"tensor(89.4000, device='cuda:0')"
101,"tensor(0.1115, device='cuda:0')","tensor(0.3519, device='cuda:0')","tensor(0.3643, device='cuda:0')","tensor(96.1822, device='cuda:0')","tensor(89.8600, device='cuda:0')","tensor(89.3700, device='cuda:0')","tensor(99.9756, device='cuda:0')","tensor(99.6800, device='cuda:0')","tensor(99.6200, device='cuda:0')",99,"tensor(89.9600, device='cuda:0')",96,"tensor(89.4000, device='cuda:0')"
102,"tensor(0.1092, device='cuda:0')","tensor(0.3594, device='cuda:0')","tensor(0.3662, device='cuda:0')","tensor(96.2356, device='cuda:0')","tensor(89.7400, device='cuda:0')","tensor(89.5000, device='cuda:0')","tensor(99.9800, device='cuda:0')","tensor(99.6000, device='cuda:0')","tensor(99.5300, device='cuda:0')",99,"tensor(89.9600, device='cuda:0')",102,"tensor(89.5000, device='cuda:0')"
103,"tensor(0.1120, device='cuda:0')","tensor(0.3765, device='cuda:0')","tensor(0.3769, device='cuda:0')","tensor(96.1822, device='cuda:0')","tensor(89.1400, device='cuda:0')","tensor(89.0700, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.7000, device='cuda:0')","tensor(99.6200, device='cuda:0')",99,"tensor(89.9600, device='cuda:0')",102,"tensor(89.5000, device='cuda:0')"
104,"tensor(0.1050, device='cuda:0')","tensor(0.3537, device='cuda:0')","tensor(0.3637, device='cuda:0')","tensor(96.4444, device='cuda:0')","tensor(89.6600, device='cuda:0')","tensor(89.6200, device='cuda:0')","tensor(99.9867, device='cuda:0')","tensor(99.7200, device='cuda:0')","tensor(99.5100, device='cuda:0')",99,"tensor(89.9600, device='cuda:0')",104,"tensor(89.6200, device='cuda:0')"
105,"tensor(0.1055, device='cuda:0')","tensor(0.3476, device='cuda:0')","tensor(0.3730, device='cuda:0')","tensor(96.3933, device='cuda:0')","tensor(90.0200, device='cuda:0')","tensor(88.8600, device='cuda:0')","tensor(99.9822, device='cuda:0')","tensor(99.5800, device='cuda:0')","tensor(99.6200, device='cuda:0')",105,"tensor(90.0200, device='cuda:0')",104,"tensor(89.6200, device='cuda:0')"
106,"tensor(0.1045, device='cuda:0')","tensor(0.3658, device='cuda:0')","tensor(0.3661, device='cuda:0')","tensor(96.4511, device='cuda:0')","tensor(89.5000, device='cuda:0')","tensor(89.2700, device='cuda:0')","tensor(99.9822, device='cuda:0')","tensor(99.6000, device='cuda:0')","tensor(99.5700, device='cuda:0')",105,"tensor(90.0200, device='cuda:0')",104,"tensor(89.6200, device='cuda:0')"
107,"tensor(0.0985, device='cuda:0')","tensor(0.3583, device='cuda:0')","tensor(0.3661, device='cuda:0')","tensor(96.6556, device='cuda:0')","tensor(89.5000, device='cuda:0')","tensor(89.4200, device='cuda:0')","tensor(99.9756, device='cuda:0')","tensor(99.5800, device='cuda:0')","tensor(99.5400, device='cuda:0')",105,"tensor(90.0200, device='cuda:0')",104,"tensor(89.6200, device='cuda:0')"
108,"tensor(0.0996, device='cuda:0')","tensor(0.3452, device='cuda:0')","tensor(0.3626, device='cuda:0')","tensor(96.5244, device='cuda:0')","tensor(90.1600, device='cuda:0')","tensor(89.4600, device='cuda:0')","tensor(99.9867, device='cuda:0')","tensor(99.7200, device='cuda:0')","tensor(99.5200, device='cuda:0')",108,"tensor(90.1600, device='cuda:0')",104,"tensor(89.6200, device='cuda:0')"
109,"tensor(0.0963, device='cuda:0')","tensor(0.3379, device='cuda:0')","tensor(0.3537, device='cuda:0')","tensor(96.6911, device='cuda:0')","tensor(90.0800, device='cuda:0')","tensor(89.9200, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.7600, device='cuda:0')","tensor(99.5500, device='cuda:0')",108,"tensor(90.1600, device='cuda:0')",109,"tensor(89.9200, device='cuda:0')"
