epoch,train_loss,val_loss,train_prec1,val_prec1,train_prec5,val_prec5,best_val_epoch,best_prec1_val,best_test_epoch,best_prec1_test
1,"tensor(1.5569, device='cuda:0')","tensor(1.4415, device='cuda:0')","tensor(43.6060, device='cuda:0')","tensor(50.8800, device='cuda:0')","tensor(89.5180, device='cuda:0')","tensor(92.5900, device='cuda:0')",1,"tensor(50.8800, device='cuda:0')",0,0.0
2,"tensor(1.0973, device='cuda:0')","tensor(1.1974, device='cuda:0')","tensor(61.1740, device='cuda:0')","tensor(57.7900, device='cuda:0')","tensor(96.0240, device='cuda:0')","tensor(95.8400, device='cuda:0')",2,"tensor(57.7900, device='cuda:0')",0,0.0
3,"tensor(0.9175, device='cuda:0')","tensor(1.1962, device='cuda:0')","tensor(67.6560, device='cuda:0')","tensor(58.5000, device='cuda:0')","tensor(97.3740, device='cuda:0')","tensor(96.3700, device='cuda:0')",3,"tensor(58.5000, device='cuda:0')",0,0.0
4,"tensor(0.7991, device='cuda:0')","tensor(0.8034, device='cuda:0')","tensor(72.0780, device='cuda:0')","tensor(71.6700, device='cuda:0')","tensor(98.0040, device='cuda:0')","tensor(98., device='cuda:0')",4,"tensor(71.6700, device='cuda:0')",0,0.0
5,"tensor(0.7179, device='cuda:0')","tensor(0.7693, device='cuda:0')","tensor(74.7920, device='cuda:0')","tensor(73.3600, device='cuda:0')","tensor(98.4900, device='cuda:0')","tensor(98.2500, device='cuda:0')",5,"tensor(73.3600, device='cuda:0')",0,0.0
6,"tensor(0.6570, device='cuda:0')","tensor(0.7262, device='cuda:0')","tensor(77.2920, device='cuda:0')","tensor(75.2100, device='cuda:0')","tensor(98.6980, device='cuda:0')","tensor(98.4400, device='cuda:0')",6,"tensor(75.2100, device='cuda:0')",0,0.0
7,"tensor(0.6125, device='cuda:0')","tensor(0.6653, device='cuda:0')","tensor(78.6620, device='cuda:0')","tensor(76.4200, device='cuda:0')","tensor(98.8980, device='cuda:0')","tensor(98.8300, device='cuda:0')",7,"tensor(76.4200, device='cuda:0')",0,0.0
8,"tensor(0.5745, device='cuda:0')","tensor(0.8430, device='cuda:0')","tensor(79.9880, device='cuda:0')","tensor(72.7500, device='cuda:0')","tensor(99.0060, device='cuda:0')","tensor(97.9400, device='cuda:0')",7,"tensor(76.4200, device='cuda:0')",0,0.0
9,"tensor(0.5426, device='cuda:0')","tensor(0.5926, device='cuda:0')","tensor(81.2180, device='cuda:0')","tensor(80.2000, device='cuda:0')","tensor(99.1700, device='cuda:0')","tensor(98.8300, device='cuda:0')",9,"tensor(80.2000, device='cuda:0')",0,0.0
10,"tensor(0.5166, device='cuda:0')","tensor(0.6315, device='cuda:0')","tensor(82.0480, device='cuda:0')","tensor(79.1500, device='cuda:0')","tensor(99.2160, device='cuda:0')","tensor(98.9100, device='cuda:0')",9,"tensor(80.2000, device='cuda:0')",0,0.0
11,"tensor(0.4896, device='cuda:0')","tensor(0.6371, device='cuda:0')","tensor(83.0220, device='cuda:0')","tensor(79.3500, device='cuda:0')","tensor(99.3000, device='cuda:0')","tensor(98.6000, device='cuda:0')",9,"tensor(80.2000, device='cuda:0')",0,0.0
12,"tensor(0.4729, device='cuda:0')","tensor(0.5502, device='cuda:0')","tensor(83.6120, device='cuda:0')","tensor(81.1000, device='cuda:0')","tensor(99.3040, device='cuda:0')","tensor(99.1500, device='cuda:0')",12,"tensor(81.1000, device='cuda:0')",0,0.0
13,"tensor(0.4539, device='cuda:0')","tensor(0.5340, device='cuda:0')","tensor(84.3520, device='cuda:0')","tensor(82.1700, device='cuda:0')","tensor(99.4080, device='cuda:0')","tensor(99.2800, device='cuda:0')",13,"tensor(82.1700, device='cuda:0')",0,0.0
14,"tensor(0.4360, device='cuda:0')","tensor(0.5065, device='cuda:0')","tensor(84.9780, device='cuda:0')","tensor(83.1100, device='cuda:0')","tensor(99.4740, device='cuda:0')","tensor(99.1800, device='cuda:0')",14,"tensor(83.1100, device='cuda:0')",0,0.0
15,"tensor(0.4158, device='cuda:0')","tensor(0.5931, device='cuda:0')","tensor(85.4900, device='cuda:0')","tensor(80.6700, device='cuda:0')","tensor(99.4780, device='cuda:0')","tensor(98.8700, device='cuda:0')",14,"tensor(83.1100, device='cuda:0')",0,0.0
16,"tensor(0.4021, device='cuda:0')","tensor(0.4686, device='cuda:0')","tensor(86.0460, device='cuda:0')","tensor(84.3100, device='cuda:0')","tensor(99.5280, device='cuda:0')","tensor(99.3100, device='cuda:0')",16,"tensor(84.3100, device='cuda:0')",0,0.0
17,"tensor(0.3894, device='cuda:0')","tensor(0.5071, device='cuda:0')","tensor(86.3640, device='cuda:0')","tensor(83.4100, device='cuda:0')","tensor(99.5460, device='cuda:0')","tensor(99.2500, device='cuda:0')",16,"tensor(84.3100, device='cuda:0')",0,0.0
18,"tensor(0.3696, device='cuda:0')","tensor(0.4841, device='cuda:0')","tensor(87.3500, device='cuda:0')","tensor(83.7200, device='cuda:0')","tensor(99.6280, device='cuda:0')","tensor(99.2300, device='cuda:0')",16,"tensor(84.3100, device='cuda:0')",0,0.0
19,"tensor(0.3628, device='cuda:0')","tensor(0.4836, device='cuda:0')","tensor(87.4440, device='cuda:0')","tensor(84.0700, device='cuda:0')","tensor(99.6180, device='cuda:0')","tensor(99.3100, device='cuda:0')",16,"tensor(84.3100, device='cuda:0')",0,0.0
20,"tensor(0.3533, device='cuda:0')","tensor(0.4891, device='cuda:0')","tensor(87.6280, device='cuda:0')","tensor(83.6700, device='cuda:0')","tensor(99.6160, device='cuda:0')","tensor(99.1900, device='cuda:0')",16,"tensor(84.3100, device='cuda:0')",0,0.0
21,"tensor(0.3480, device='cuda:0')","tensor(0.5248, device='cuda:0')","tensor(87.9520, device='cuda:0')","tensor(83.0500, device='cuda:0')","tensor(99.6740, device='cuda:0')","tensor(99.1900, device='cuda:0')",16,"tensor(84.3100, device='cuda:0')",0,0.0
22,"tensor(0.3341, device='cuda:0')","tensor(0.4723, device='cuda:0')","tensor(88.3100, device='cuda:0')","tensor(84.6400, device='cuda:0')","tensor(99.6480, device='cuda:0')","tensor(99.2800, device='cuda:0')",22,"tensor(84.6400, device='cuda:0')",0,0.0
23,"tensor(0.3257, device='cuda:0')","tensor(0.4735, device='cuda:0')","tensor(88.5940, device='cuda:0')","tensor(84.6600, device='cuda:0')","tensor(99.7140, device='cuda:0')","tensor(99.2800, device='cuda:0')",23,"tensor(84.6600, device='cuda:0')",0,0.0
24,"tensor(0.3114, device='cuda:0')","tensor(0.4437, device='cuda:0')","tensor(89.0860, device='cuda:0')","tensor(85.5700, device='cuda:0')","tensor(99.7320, device='cuda:0')","tensor(99.3700, device='cuda:0')",24,"tensor(85.5700, device='cuda:0')",0,0.0
25,"tensor(0.3085, device='cuda:0')","tensor(0.4792, device='cuda:0')","tensor(89.3560, device='cuda:0')","tensor(84.5900, device='cuda:0')","tensor(99.7420, device='cuda:0')","tensor(99.3200, device='cuda:0')",24,"tensor(85.5700, device='cuda:0')",0,0.0
26,"tensor(0.2965, device='cuda:0')","tensor(0.5008, device='cuda:0')","tensor(89.5060, device='cuda:0')","tensor(84.2900, device='cuda:0')","tensor(99.7460, device='cuda:0')","tensor(99.2900, device='cuda:0')",24,"tensor(85.5700, device='cuda:0')",0,0.0
27,"tensor(0.2873, device='cuda:0')","tensor(0.4358, device='cuda:0')","tensor(89.9040, device='cuda:0')","tensor(85.8700, device='cuda:0')","tensor(99.7840, device='cuda:0')","tensor(99.3600, device='cuda:0')",27,"tensor(85.8700, device='cuda:0')",0,0.0
28,"tensor(0.2835, device='cuda:0')","tensor(0.4264, device='cuda:0')","tensor(90.0800, device='cuda:0')","tensor(86.1200, device='cuda:0')","tensor(99.7800, device='cuda:0')","tensor(99.3600, device='cuda:0')",28,"tensor(86.1200, device='cuda:0')",0,0.0
29,"tensor(0.2783, device='cuda:0')","tensor(0.4386, device='cuda:0')","tensor(90.2480, device='cuda:0')","tensor(85.7900, device='cuda:0')","tensor(99.8040, device='cuda:0')","tensor(99.3900, device='cuda:0')",28,"tensor(86.1200, device='cuda:0')",0,0.0
