epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
124,"tensor(0.0581, device='cuda:0')","tensor(0.3939, device='cuda:0')","tensor(1.8580, device='cuda:0')","tensor(10.1600, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3900, device='cuda:0')"
125,"tensor(0.0576, device='cuda:0')","tensor(0.3938, device='cuda:0')","tensor(1.8420, device='cuda:0')","tensor(10.1400, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.3800, device='cuda:0')"
126,"tensor(0.0578, device='cuda:0')","tensor(0.3897, device='cuda:0')","tensor(1.8740, device='cuda:0')","tensor(10.2100, device='cuda:0')","tensor(0.0120, device='cuda:0')","tensor(0.3900, device='cuda:0')"
127,"tensor(0.0569, device='cuda:0')","tensor(0.3910, device='cuda:0')","tensor(1.7560, device='cuda:0')","tensor(10.1300, device='cuda:0')","tensor(0.0100, device='cuda:0')","tensor(0.3900, device='cuda:0')"
128,"tensor(0.0566, device='cuda:0')","tensor(0.3910, device='cuda:0')","tensor(1.8480, device='cuda:0')","tensor(10.1700, device='cuda:0')","tensor(0.0120, device='cuda:0')","tensor(0.3800, device='cuda:0')"
129,"tensor(0.0570, device='cuda:0')","tensor(0.3914, device='cuda:0')","tensor(1.8680, device='cuda:0')","tensor(10.0500, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3500, device='cuda:0')"
130,"tensor(0.0545, device='cuda:0')","tensor(0.3899, device='cuda:0')","tensor(1.6620, device='cuda:0')","tensor(10.1200, device='cuda:0')","tensor(0.0100, device='cuda:0')","tensor(0.3800, device='cuda:0')"
131,"tensor(0.0562, device='cuda:0')","tensor(0.3947, device='cuda:0')","tensor(1.8200, device='cuda:0')","tensor(10.1900, device='cuda:0')","tensor(0.0100, device='cuda:0')","tensor(0.3800, device='cuda:0')"
132,"tensor(0.0556, device='cuda:0')","tensor(0.3898, device='cuda:0')","tensor(1.7920, device='cuda:0')","tensor(10.0300, device='cuda:0')","tensor(0.0100, device='cuda:0')","tensor(0.3500, device='cuda:0')"
133,"tensor(0.0553, device='cuda:0')","tensor(0.3912, device='cuda:0')","tensor(1.7780, device='cuda:0')","tensor(10.1100, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3500, device='cuda:0')"
134,"tensor(0.0545, device='cuda:0')","tensor(0.3925, device='cuda:0')","tensor(1.7400, device='cuda:0')","tensor(10.1800, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3400, device='cuda:0')"
135,"tensor(0.0543, device='cuda:0')","tensor(0.3960, device='cuda:0')","tensor(1.8080, device='cuda:0')","tensor(10.1700, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.3600, device='cuda:0')"
136,"tensor(0.0552, device='cuda:0')","tensor(0.3939, device='cuda:0')","tensor(1.7940, device='cuda:0')","tensor(9.9900, device='cuda:0')","tensor(0.0100, device='cuda:0')","tensor(0.3300, device='cuda:0')"
137,"tensor(0.0563, device='cuda:0')","tensor(0.3943, device='cuda:0')","tensor(1.8140, device='cuda:0')","tensor(10.0700, device='cuda:0')","tensor(0.0120, device='cuda:0')","tensor(0.3200, device='cuda:0')"
138,"tensor(0.0553, device='cuda:0')","tensor(0.3944, device='cuda:0')","tensor(1.7960, device='cuda:0')","tensor(10.0100, device='cuda:0')","tensor(0.0100, device='cuda:0')","tensor(0.3500, device='cuda:0')"
139,"tensor(0.0559, device='cuda:0')","tensor(0.3949, device='cuda:0')","tensor(1.8620, device='cuda:0')","tensor(10.1400, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3700, device='cuda:0')"
140,"tensor(0.0549, device='cuda:0')","tensor(0.3936, device='cuda:0')","tensor(1.7000, device='cuda:0')","tensor(10.1000, device='cuda:0')","tensor(0.0100, device='cuda:0')","tensor(0.3600, device='cuda:0')"
141,"tensor(0.0548, device='cuda:0')","tensor(0.3950, device='cuda:0')","tensor(1.7420, device='cuda:0')","tensor(10.0100, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3800, device='cuda:0')"
142,"tensor(0.0546, device='cuda:0')","tensor(0.3955, device='cuda:0')","tensor(1.7560, device='cuda:0')","tensor(10.2100, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3600, device='cuda:0')"
143,"tensor(0.0548, device='cuda:0')","tensor(0.3963, device='cuda:0')","tensor(1.7180, device='cuda:0')","tensor(10.1800, device='cuda:0')","tensor(0.0120, device='cuda:0')","tensor(0.3300, device='cuda:0')"
144,"tensor(0.0550, device='cuda:0')","tensor(0.3965, device='cuda:0')","tensor(1.8160, device='cuda:0')","tensor(10.0300, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.3900, device='cuda:0')"
145,"tensor(0.0540, device='cuda:0')","tensor(0.3956, device='cuda:0')","tensor(1.6600, device='cuda:0')","tensor(9.9600, device='cuda:0')","tensor(0.0100, device='cuda:0')","tensor(0.3400, device='cuda:0')"
146,"tensor(0.0533, device='cuda:0')","tensor(0.3977, device='cuda:0')","tensor(1.6660, device='cuda:0')","tensor(10.0600, device='cuda:0')","tensor(0.0120, device='cuda:0')","tensor(0.3900, device='cuda:0')"
147,"tensor(0.0530, device='cuda:0')","tensor(0.3982, device='cuda:0')","tensor(1.6500, device='cuda:0')","tensor(10.0300, device='cuda:0')","tensor(0.0100, device='cuda:0')","tensor(0.3700, device='cuda:0')"
148,"tensor(0.0533, device='cuda:0')","tensor(0.3978, device='cuda:0')","tensor(1.7700, device='cuda:0')","tensor(9.9800, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.3800, device='cuda:0')"
149,"tensor(0.0536, device='cuda:0')","tensor(0.3960, device='cuda:0')","tensor(1.7520, device='cuda:0')","tensor(9.9700, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3500, device='cuda:0')"
150,"tensor(0.0545, device='cuda:0')","tensor(0.3974, device='cuda:0')","tensor(1.7220, device='cuda:0')","tensor(10.1000, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.3300, device='cuda:0')"
151,"tensor(0.0535, device='cuda:0')","tensor(0.3969, device='cuda:0')","tensor(1.7120, device='cuda:0')","tensor(10., device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.3800, device='cuda:0')"
152,"tensor(0.0528, device='cuda:0')","tensor(0.3998, device='cuda:0')","tensor(1.6880, device='cuda:0')","tensor(10.0700, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3600, device='cuda:0')"
153,"tensor(0.0538, device='cuda:0')","tensor(0.4003, device='cuda:0')","tensor(1.7640, device='cuda:0')","tensor(10.0600, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.4300, device='cuda:0')"
154,"tensor(0.0531, device='cuda:0')","tensor(0.3997, device='cuda:0')","tensor(1.7440, device='cuda:0')","tensor(10.0100, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.3700, device='cuda:0')"
155,"tensor(0.0535, device='cuda:0')","tensor(0.3972, device='cuda:0')","tensor(1.7420, device='cuda:0')","tensor(9.9900, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3400, device='cuda:0')"
156,"tensor(0.0535, device='cuda:0')","tensor(0.3966, device='cuda:0')","tensor(1.7680, device='cuda:0')","tensor(9.9400, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3700, device='cuda:0')"
157,"tensor(0.0526, device='cuda:0')","tensor(0.3996, device='cuda:0')","tensor(1.6920, device='cuda:0')","tensor(9.9400, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3800, device='cuda:0')"
158,"tensor(0.0509, device='cuda:0')","tensor(0.3995, device='cuda:0')","tensor(1.6100, device='cuda:0')","tensor(10.1000, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3700, device='cuda:0')"
159,"tensor(0.0518, device='cuda:0')","tensor(0.3968, device='cuda:0')","tensor(1.5660, device='cuda:0')","tensor(10.0900, device='cuda:0')","tensor(0.0100, device='cuda:0')","tensor(0.3800, device='cuda:0')"
160,"tensor(0.0518, device='cuda:0')","tensor(0.3993, device='cuda:0')","tensor(1.6600, device='cuda:0')","tensor(9.9800, device='cuda:0')","tensor(0.0140, device='cuda:0')","tensor(0.3900, device='cuda:0')"
161,"tensor(0.0512, device='cuda:0')","tensor(0.4015, device='cuda:0')","tensor(1.6060, device='cuda:0')","tensor(10.1300, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.3700, device='cuda:0')"
162,"tensor(0.0507, device='cuda:0')","tensor(0.4007, device='cuda:0')","tensor(1.6120, device='cuda:0')","tensor(10.0200, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.3600, device='cuda:0')"
163,"tensor(0.0508, device='cuda:0')","tensor(0.4028, device='cuda:0')","tensor(1.5600, device='cuda:0')","tensor(10.1100, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3500, device='cuda:0')"
164,"tensor(0.0526, device='cuda:0')","tensor(0.4009, device='cuda:0')","tensor(1.7580, device='cuda:0')","tensor(10.0900, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3800, device='cuda:0')"
165,"tensor(0.0496, device='cuda:0')","tensor(0.4030, device='cuda:0')","tensor(1.5340, device='cuda:0')","tensor(10.0700, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3700, device='cuda:0')"
166,"tensor(0.0509, device='cuda:0')","tensor(0.4014, device='cuda:0')","tensor(1.6480, device='cuda:0')","tensor(10.2300, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3800, device='cuda:0')"
167,"tensor(0.0508, device='cuda:0')","tensor(0.4021, device='cuda:0')","tensor(1.6560, device='cuda:0')","tensor(9.9800, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3500, device='cuda:0')"
168,"tensor(0.0513, device='cuda:0')","tensor(0.4005, device='cuda:0')","tensor(1.6560, device='cuda:0')","tensor(10.1200, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3800, device='cuda:0')"
169,"tensor(0.0521, device='cuda:0')","tensor(0.4017, device='cuda:0')","tensor(1.6440, device='cuda:0')","tensor(10.1500, device='cuda:0')","tensor(0.0100, device='cuda:0')","tensor(0.3700, device='cuda:0')"
170,"tensor(0.0508, device='cuda:0')","tensor(0.4017, device='cuda:0')","tensor(1.5860, device='cuda:0')","tensor(10.0700, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.3900, device='cuda:0')"
171,"tensor(0.0512, device='cuda:0')","tensor(0.4013, device='cuda:0')","tensor(1.6160, device='cuda:0')","tensor(10.0700, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3200, device='cuda:0')"
172,"tensor(0.0506, device='cuda:0')","tensor(0.3989, device='cuda:0')","tensor(1.6260, device='cuda:0')","tensor(10.1000, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.3200, device='cuda:0')"
173,"tensor(0.0512, device='cuda:0')","tensor(0.3998, device='cuda:0')","tensor(1.6360, device='cuda:0')","tensor(10.0800, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3400, device='cuda:0')"
174,"tensor(0.0502, device='cuda:0')","tensor(0.4012, device='cuda:0')","tensor(1.5940, device='cuda:0')","tensor(10.0700, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.3600, device='cuda:0')"
175,"tensor(0.0504, device='cuda:0')","tensor(0.4017, device='cuda:0')","tensor(1.6240, device='cuda:0')","tensor(10.0700, device='cuda:0')","tensor(0.0140, device='cuda:0')","tensor(0.3800, device='cuda:0')"
176,"tensor(0.0495, device='cuda:0')","tensor(0.4016, device='cuda:0')","tensor(1.5580, device='cuda:0')","tensor(10.0300, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.3900, device='cuda:0')"
177,"tensor(0.0517, device='cuda:0')","tensor(0.4013, device='cuda:0')","tensor(1.6280, device='cuda:0')","tensor(10.0400, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3900, device='cuda:0')"
178,"tensor(0.0523, device='cuda:0')","tensor(0.4013, device='cuda:0')","tensor(1.6980, device='cuda:0')","tensor(10.0600, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3800, device='cuda:0')"
179,"tensor(0.0534, device='cuda:0')","tensor(0.4013, device='cuda:0')","tensor(1.7380, device='cuda:0')","tensor(10.1100, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.3700, device='cuda:0')"
180,"tensor(0.0508, device='cuda:0')","tensor(0.4002, device='cuda:0')","tensor(1.6000, device='cuda:0')","tensor(10.1800, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.3500, device='cuda:0')"
181,"tensor(0.0531, device='cuda:0')","tensor(0.3991, device='cuda:0')","tensor(1.6900, device='cuda:0')","tensor(10.0700, device='cuda:0')","tensor(0.0120, device='cuda:0')","tensor(0.4000, device='cuda:0')"
182,"tensor(0.0516, device='cuda:0')","tensor(0.3988, device='cuda:0')","tensor(1.6800, device='cuda:0')","tensor(9.9800, device='cuda:0')","tensor(0.0100, device='cuda:0')","tensor(0.3300, device='cuda:0')"
183,"tensor(0.0527, device='cuda:0')","tensor(0.3996, device='cuda:0')","tensor(1.6460, device='cuda:0')","tensor(10.0900, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3600, device='cuda:0')"
184,"tensor(0.0511, device='cuda:0')","tensor(0.3995, device='cuda:0')","tensor(1.6140, device='cuda:0')","tensor(10.0700, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.3400, device='cuda:0')"
185,"tensor(0.0500, device='cuda:0')","tensor(0.4021, device='cuda:0')","tensor(1.5680, device='cuda:0')","tensor(10.0400, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.3800, device='cuda:0')"
186,"tensor(0.0513, device='cuda:0')","tensor(0.4001, device='cuda:0')","tensor(1.6240, device='cuda:0')","tensor(10.0600, device='cuda:0')","tensor(0.0100, device='cuda:0')","tensor(0.3800, device='cuda:0')"
187,"tensor(0.0500, device='cuda:0')","tensor(0.4056, device='cuda:0')","tensor(1.5600, device='cuda:0')","tensor(10.1600, device='cuda:0')","tensor(0.0100, device='cuda:0')","tensor(0.3600, device='cuda:0')"
188,"tensor(0.0516, device='cuda:0')","tensor(0.4027, device='cuda:0')","tensor(1.6780, device='cuda:0')","tensor(10.1400, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.3800, device='cuda:0')"
189,"tensor(0.0513, device='cuda:0')","tensor(0.4009, device='cuda:0')","tensor(1.6560, device='cuda:0')","tensor(9.9600, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3600, device='cuda:0')"
190,"tensor(0.0508, device='cuda:0')","tensor(0.4007, device='cuda:0')","tensor(1.6600, device='cuda:0')","tensor(9.9600, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.4200, device='cuda:0')"
191,"tensor(0.0505, device='cuda:0')","tensor(0.4007, device='cuda:0')","tensor(1.6440, device='cuda:0')","tensor(10.0300, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.3800, device='cuda:0')"
192,"tensor(0.0487, device='cuda:0')","tensor(0.4030, device='cuda:0')","tensor(1.4760, device='cuda:0')","tensor(10.0600, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3400, device='cuda:0')"
193,"tensor(0.0506, device='cuda:0')","tensor(0.3992, device='cuda:0')","tensor(1.6000, device='cuda:0')","tensor(9.9200, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3600, device='cuda:0')"
194,"tensor(0.0517, device='cuda:0')","tensor(0.4011, device='cuda:0')","tensor(1.6400, device='cuda:0')","tensor(10.0900, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3700, device='cuda:0')"
195,"tensor(0.0517, device='cuda:0')","tensor(0.4034, device='cuda:0')","tensor(1.6460, device='cuda:0')","tensor(10.0700, device='cuda:0')","tensor(0.0100, device='cuda:0')","tensor(0.3600, device='cuda:0')"
196,"tensor(0.0524, device='cuda:0')","tensor(0.4018, device='cuda:0')","tensor(1.6820, device='cuda:0')","tensor(10.0300, device='cuda:0')","tensor(0.0160, device='cuda:0')","tensor(0.3800, device='cuda:0')"
197,"tensor(0.0491, device='cuda:0')","tensor(0.4012, device='cuda:0')","tensor(1.6020, device='cuda:0')","tensor(10.0400, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3600, device='cuda:0')"
198,"tensor(0.0521, device='cuda:0')","tensor(0.4022, device='cuda:0')","tensor(1.6600, device='cuda:0')","tensor(10.1200, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.4000, device='cuda:0')"
199,"tensor(0.0503, device='cuda:0')","tensor(0.4015, device='cuda:0')","tensor(1.5720, device='cuda:0')","tensor(10.1500, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3800, device='cuda:0')"
200,"tensor(0.0507, device='cuda:0')","tensor(0.4025, device='cuda:0')","tensor(1.6500, device='cuda:0')","tensor(10., device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.3400, device='cuda:0')"
201,"tensor(0.0516, device='cuda:0')","tensor(0.4004, device='cuda:0')","tensor(1.7140, device='cuda:0')","tensor(10.1300, device='cuda:0')","tensor(0.0100, device='cuda:0')","tensor(0.3700, device='cuda:0')"
202,"tensor(0.0515, device='cuda:0')","tensor(0.4007, device='cuda:0')","tensor(1.6100, device='cuda:0')","tensor(10.0100, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.4000, device='cuda:0')"
203,"tensor(0.0483, device='cuda:0')","tensor(0.4015, device='cuda:0')","tensor(1.4660, device='cuda:0')","tensor(10.0400, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.3700, device='cuda:0')"
204,"tensor(0.0502, device='cuda:0')","tensor(0.4022, device='cuda:0')","tensor(1.6400, device='cuda:0')","tensor(10.1600, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.3500, device='cuda:0')"
205,"tensor(0.0490, device='cuda:0')","tensor(0.4007, device='cuda:0')","tensor(1.4740, device='cuda:0')","tensor(10.0200, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.3700, device='cuda:0')"
206,"tensor(0.0515, device='cuda:0')","tensor(0.4036, device='cuda:0')","tensor(1.5880, device='cuda:0')","tensor(10.0200, device='cuda:0')","tensor(0.0120, device='cuda:0')","tensor(0.3600, device='cuda:0')"
207,"tensor(0.0501, device='cuda:0')","tensor(0.4023, device='cuda:0')","tensor(1.6040, device='cuda:0')","tensor(10.1300, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.4000, device='cuda:0')"
208,"tensor(0.0505, device='cuda:0')","tensor(0.4034, device='cuda:0')","tensor(1.6600, device='cuda:0')","tensor(10.0600, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.3600, device='cuda:0')"
209,"tensor(0.0499, device='cuda:0')","tensor(0.4040, device='cuda:0')","tensor(1.5840, device='cuda:0')","tensor(10.0500, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.3300, device='cuda:0')"
210,"tensor(0.0497, device='cuda:0')","tensor(0.4014, device='cuda:0')","tensor(1.5840, device='cuda:0')","tensor(9.9800, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3500, device='cuda:0')"
211,"tensor(0.0508, device='cuda:0')","tensor(0.4022, device='cuda:0')","tensor(1.6240, device='cuda:0')","tensor(9.9700, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.3500, device='cuda:0')"
212,"tensor(0.0500, device='cuda:0')","tensor(0.3997, device='cuda:0')","tensor(1.5440, device='cuda:0')","tensor(9.8900, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3900, device='cuda:0')"
213,"tensor(0.0517, device='cuda:0')","tensor(0.4029, device='cuda:0')","tensor(1.6280, device='cuda:0')","tensor(10.1100, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3800, device='cuda:0')"
214,"tensor(0.0510, device='cuda:0')","tensor(0.4040, device='cuda:0')","tensor(1.5840, device='cuda:0')","tensor(10.0400, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3600, device='cuda:0')"
215,"tensor(0.0496, device='cuda:0')","tensor(0.4016, device='cuda:0')","tensor(1.5060, device='cuda:0')","tensor(10.0500, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.3900, device='cuda:0')"
216,"tensor(0.0528, device='cuda:0')","tensor(0.4019, device='cuda:0')","tensor(1.7020, device='cuda:0')","tensor(9.9700, device='cuda:0')","tensor(0.0140, device='cuda:0')","tensor(0.3700, device='cuda:0')"
217,"tensor(0.0501, device='cuda:0')","tensor(0.4014, device='cuda:0')","tensor(1.5920, device='cuda:0')","tensor(10.0200, device='cuda:0')","tensor(0.0160, device='cuda:0')","tensor(0.3600, device='cuda:0')"
218,"tensor(0.0501, device='cuda:0')","tensor(0.4021, device='cuda:0')","tensor(1.5960, device='cuda:0')","tensor(10.0300, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3700, device='cuda:0')"
219,"tensor(0.0515, device='cuda:0')","tensor(0.4037, device='cuda:0')","tensor(1.6260, device='cuda:0')","tensor(10.1000, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3600, device='cuda:0')"
220,"tensor(0.0516, device='cuda:0')","tensor(0.4010, device='cuda:0')","tensor(1.6840, device='cuda:0')","tensor(9.9900, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.4000, device='cuda:0')"
221,"tensor(0.0519, device='cuda:0')","tensor(0.4009, device='cuda:0')","tensor(1.6640, device='cuda:0')","tensor(10.0500, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3400, device='cuda:0')"
222,"tensor(0.0500, device='cuda:0')","tensor(0.4030, device='cuda:0')","tensor(1.6200, device='cuda:0')","tensor(9.9300, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3800, device='cuda:0')"
223,"tensor(0.0491, device='cuda:0')","tensor(0.4043, device='cuda:0')","tensor(1.5720, device='cuda:0')","tensor(10.0500, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3900, device='cuda:0')"
224,"tensor(0.0526, device='cuda:0')","tensor(0.4028, device='cuda:0')","tensor(1.7480, device='cuda:0')","tensor(9.9700, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3700, device='cuda:0')"
225,"tensor(0.0523, device='cuda:0')","tensor(0.3977, device='cuda:0')","tensor(1.7300, device='cuda:0')","tensor(9.9100, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3700, device='cuda:0')"
226,"tensor(0.0486, device='cuda:0')","tensor(0.4030, device='cuda:0')","tensor(1.5340, device='cuda:0')","tensor(10.1400, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3300, device='cuda:0')"
227,"tensor(0.0510, device='cuda:0')","tensor(0.4034, device='cuda:0')","tensor(1.6100, device='cuda:0')","tensor(10.0900, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3900, device='cuda:0')"
228,"tensor(0.0503, device='cuda:0')","tensor(0.4026, device='cuda:0')","tensor(1.5980, device='cuda:0')","tensor(10.0500, device='cuda:0')","tensor(0.0120, device='cuda:0')","tensor(0.3500, device='cuda:0')"
229,"tensor(0.0493, device='cuda:0')","tensor(0.4033, device='cuda:0')","tensor(1.5320, device='cuda:0')","tensor(10., device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3900, device='cuda:0')"
230,"tensor(0.0516, device='cuda:0')","tensor(0.4037, device='cuda:0')","tensor(1.6420, device='cuda:0')","tensor(10.1700, device='cuda:0')","tensor(0.0160, device='cuda:0')","tensor(0.3600, device='cuda:0')"
231,"tensor(0.0512, device='cuda:0')","tensor(0.4025, device='cuda:0')","tensor(1.6940, device='cuda:0')","tensor(10.0500, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3600, device='cuda:0')"
232,"tensor(0.0501, device='cuda:0')","tensor(0.4048, device='cuda:0')","tensor(1.6320, device='cuda:0')","tensor(10.0500, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3600, device='cuda:0')"
233,"tensor(0.0504, device='cuda:0')","tensor(0.4003, device='cuda:0')","tensor(1.6540, device='cuda:0')","tensor(9.9400, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.3500, device='cuda:0')"
234,"tensor(0.0480, device='cuda:0')","tensor(0.4037, device='cuda:0')","tensor(1.4940, device='cuda:0')","tensor(10.0400, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3600, device='cuda:0')"
235,"tensor(0.0514, device='cuda:0')","tensor(0.4014, device='cuda:0')","tensor(1.6860, device='cuda:0')","tensor(10.0900, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3500, device='cuda:0')"
236,"tensor(0.0499, device='cuda:0')","tensor(0.4012, device='cuda:0')","tensor(1.5880, device='cuda:0')","tensor(10.0100, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.3500, device='cuda:0')"
237,"tensor(0.0519, device='cuda:0')","tensor(0.4017, device='cuda:0')","tensor(1.6680, device='cuda:0')","tensor(10.0800, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.3800, device='cuda:0')"
238,"tensor(0.0511, device='cuda:0')","tensor(0.4028, device='cuda:0')","tensor(1.6580, device='cuda:0')","tensor(10.0400, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3500, device='cuda:0')"
239,"tensor(0.0502, device='cuda:0')","tensor(0.4045, device='cuda:0')","tensor(1.6220, device='cuda:0')","tensor(10., device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.3600, device='cuda:0')"
240,"tensor(0.0497, device='cuda:0')","tensor(0.4030, device='cuda:0')","tensor(1.5960, device='cuda:0')","tensor(10., device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3800, device='cuda:0')"
241,"tensor(0.0498, device='cuda:0')","tensor(0.4041, device='cuda:0')","tensor(1.5500, device='cuda:0')","tensor(10.1000, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.3600, device='cuda:0')"
242,"tensor(0.0501, device='cuda:0')","tensor(0.4014, device='cuda:0')","tensor(1.6420, device='cuda:0')","tensor(10.0700, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.3600, device='cuda:0')"
243,"tensor(0.0501, device='cuda:0')","tensor(0.4024, device='cuda:0')","tensor(1.5760, device='cuda:0')","tensor(10.1200, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3600, device='cuda:0')"
244,"tensor(0.0501, device='cuda:0')","tensor(0.4026, device='cuda:0')","tensor(1.6220, device='cuda:0')","tensor(10.0900, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3400, device='cuda:0')"
245,"tensor(0.0513, device='cuda:0')","tensor(0.4035, device='cuda:0')","tensor(1.6800, device='cuda:0')","tensor(10.1000, device='cuda:0')","tensor(0.0200, device='cuda:0')","tensor(0.3100, device='cuda:0')"
246,"tensor(0.0492, device='cuda:0')","tensor(0.4026, device='cuda:0')","tensor(1.5140, device='cuda:0')","tensor(10.0300, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3500, device='cuda:0')"
247,"tensor(0.0506, device='cuda:0')","tensor(0.4052, device='cuda:0')","tensor(1.6380, device='cuda:0')","tensor(10.0200, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.3900, device='cuda:0')"
