epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
29,"tensor(0.3132, device='cuda:0')","tensor(0.5431, device='cuda:0')","tensor(11.0480, device='cuda:0')","tensor(17.3400, device='cuda:0')","tensor(0.2860, device='cuda:0')","tensor(0.7600, device='cuda:0')"
30,"tensor(0.3155, device='cuda:0')","tensor(0.5451, device='cuda:0')","tensor(10.8620, device='cuda:0')","tensor(17.2600, device='cuda:0')","tensor(0.2980, device='cuda:0')","tensor(0.6000, device='cuda:0')"
31,"tensor(0.3081, device='cuda:0')","tensor(0.4814, device='cuda:0')","tensor(10.7580, device='cuda:0')","tensor(16.1400, device='cuda:0')","tensor(0.2900, device='cuda:0')","tensor(0.5900, device='cuda:0')"
32,"tensor(0.3020, device='cuda:0')","tensor(0.4654, device='cuda:0')","tensor(10.6140, device='cuda:0')","tensor(15.1200, device='cuda:0')","tensor(0.2840, device='cuda:0')","tensor(0.5500, device='cuda:0')"
33,"tensor(0.3010, device='cuda:0')","tensor(0.6307, device='cuda:0')","tensor(10.5740, device='cuda:0')","tensor(18.8600, device='cuda:0')","tensor(0.2780, device='cuda:0')","tensor(0.9400, device='cuda:0')"
34,"tensor(0.2960, device='cuda:0')","tensor(0.5329, device='cuda:0')","tensor(10.2880, device='cuda:0')","tensor(17.1000, device='cuda:0')","tensor(0.2780, device='cuda:0')","tensor(0.7600, device='cuda:0')"
35,"tensor(0.2964, device='cuda:0')","tensor(0.5706, device='cuda:0')","tensor(10.3520, device='cuda:0')","tensor(17.1000, device='cuda:0')","tensor(0.2760, device='cuda:0')","tensor(0.8600, device='cuda:0')"
36,"tensor(0.2867, device='cuda:0')","tensor(0.6296, device='cuda:0')","tensor(10.0120, device='cuda:0')","tensor(18.5000, device='cuda:0')","tensor(0.2320, device='cuda:0')","tensor(1.2100, device='cuda:0')"
37,"tensor(0.2947, device='cuda:0')","tensor(0.4819, device='cuda:0')","tensor(10.2980, device='cuda:0')","tensor(15.2300, device='cuda:0')","tensor(0.2560, device='cuda:0')","tensor(0.5500, device='cuda:0')"
38,"tensor(0.2839, device='cuda:0')","tensor(0.6027, device='cuda:0')","tensor(9.9660, device='cuda:0')","tensor(17.1500, device='cuda:0')","tensor(0.2580, device='cuda:0')","tensor(1.2600, device='cuda:0')"
39,"tensor(0.2845, device='cuda:0')","tensor(0.5198, device='cuda:0')","tensor(9.9140, device='cuda:0')","tensor(17.1600, device='cuda:0')","tensor(0.2080, device='cuda:0')","tensor(0.7000, device='cuda:0')"
40,"tensor(0.2761, device='cuda:0')","tensor(0.5801, device='cuda:0')","tensor(9.7180, device='cuda:0')","tensor(17.5600, device='cuda:0')","tensor(0.1900, device='cuda:0')","tensor(0.8900, device='cuda:0')"
41,"tensor(0.2750, device='cuda:0')","tensor(0.5394, device='cuda:0')","tensor(9.7360, device='cuda:0')","tensor(16.2200, device='cuda:0')","tensor(0.2200, device='cuda:0')","tensor(0.8100, device='cuda:0')"
42,"tensor(0.2701, device='cuda:0')","tensor(0.4796, device='cuda:0')","tensor(9.5760, device='cuda:0')","tensor(15.4300, device='cuda:0')","tensor(0.2440, device='cuda:0')","tensor(0.6300, device='cuda:0')"
43,"tensor(0.2694, device='cuda:0')","tensor(0.5005, device='cuda:0')","tensor(9.4940, device='cuda:0')","tensor(15.5900, device='cuda:0')","tensor(0.1960, device='cuda:0')","tensor(0.7200, device='cuda:0')"
44,"tensor(0.2680, device='cuda:0')","tensor(0.5402, device='cuda:0')","tensor(9.3940, device='cuda:0')","tensor(16.4800, device='cuda:0')","tensor(0.2260, device='cuda:0')","tensor(0.7700, device='cuda:0')"
45,"tensor(0.2629, device='cuda:0')","tensor(0.5564, device='cuda:0')","tensor(9.1620, device='cuda:0')","tensor(16.9400, device='cuda:0')","tensor(0.1900, device='cuda:0')","tensor(0.8200, device='cuda:0')"
46,"tensor(0.2628, device='cuda:0')","tensor(0.4481, device='cuda:0')","tensor(9.3760, device='cuda:0')","tensor(14.0500, device='cuda:0')","tensor(0.1800, device='cuda:0')","tensor(0.7000, device='cuda:0')"
47,"tensor(0.2525, device='cuda:0')","tensor(0.5356, device='cuda:0')","tensor(8.8340, device='cuda:0')","tensor(16.0400, device='cuda:0')","tensor(0.1960, device='cuda:0')","tensor(0.5000, device='cuda:0')"
48,"tensor(0.2567, device='cuda:0')","tensor(0.4547, device='cuda:0')","tensor(9.0320, device='cuda:0')","tensor(14.8200, device='cuda:0')","tensor(0.1620, device='cuda:0')","tensor(0.5700, device='cuda:0')"
49,"tensor(0.2557, device='cuda:0')","tensor(0.4632, device='cuda:0')","tensor(8.8360, device='cuda:0')","tensor(14.5800, device='cuda:0')","tensor(0.1780, device='cuda:0')","tensor(0.5000, device='cuda:0')"
50,"tensor(0.2458, device='cuda:0')","tensor(0.4289, device='cuda:0')","tensor(8.6320, device='cuda:0')","tensor(13.5300, device='cuda:0')","tensor(0.1660, device='cuda:0')","tensor(0.4900, device='cuda:0')"
51,"tensor(0.2507, device='cuda:0')","tensor(0.4594, device='cuda:0')","tensor(8.7640, device='cuda:0')","tensor(14.2000, device='cuda:0')","tensor(0.2080, device='cuda:0')","tensor(0.6000, device='cuda:0')"
52,"tensor(0.2459, device='cuda:0')","tensor(0.4617, device='cuda:0')","tensor(8.6540, device='cuda:0')","tensor(14.5600, device='cuda:0')","tensor(0.1520, device='cuda:0')","tensor(0.4700, device='cuda:0')"
53,"tensor(0.2493, device='cuda:0')","tensor(0.4931, device='cuda:0')","tensor(8.8280, device='cuda:0')","tensor(15.3900, device='cuda:0')","tensor(0.1560, device='cuda:0')","tensor(0.6200, device='cuda:0')"
54,"tensor(0.2491, device='cuda:0')","tensor(0.6094, device='cuda:0')","tensor(8.7560, device='cuda:0')","tensor(18.3700, device='cuda:0')","tensor(0.1640, device='cuda:0')","tensor(0.7600, device='cuda:0')"
55,"tensor(0.2359, device='cuda:0')","tensor(0.4997, device='cuda:0')","tensor(8.2000, device='cuda:0')","tensor(15.3200, device='cuda:0')","tensor(0.1600, device='cuda:0')","tensor(0.5500, device='cuda:0')"
56,"tensor(0.2395, device='cuda:0')","tensor(0.4916, device='cuda:0')","tensor(8.2820, device='cuda:0')","tensor(15.2100, device='cuda:0')","tensor(0.1580, device='cuda:0')","tensor(0.6200, device='cuda:0')"
57,"tensor(0.2358, device='cuda:0')","tensor(0.5218, device='cuda:0')","tensor(8.2460, device='cuda:0')","tensor(15.8400, device='cuda:0')","tensor(0.1500, device='cuda:0')","tensor(0.7300, device='cuda:0')"
58,"tensor(0.2373, device='cuda:0')","tensor(0.4648, device='cuda:0')","tensor(8.3780, device='cuda:0')","tensor(14.6000, device='cuda:0')","tensor(0.1300, device='cuda:0')","tensor(0.6900, device='cuda:0')"
59,"tensor(0.2341, device='cuda:0')","tensor(0.7305, device='cuda:0')","tensor(8.1580, device='cuda:0')","tensor(20.0400, device='cuda:0')","tensor(0.1840, device='cuda:0')","tensor(0.9900, device='cuda:0')"
60,"tensor(0.2376, device='cuda:0')","tensor(0.6013, device='cuda:0')","tensor(8.2400, device='cuda:0')","tensor(17.1800, device='cuda:0')","tensor(0.1820, device='cuda:0')","tensor(0.7100, device='cuda:0')"
61,"tensor(0.2350, device='cuda:0')","tensor(0.4920, device='cuda:0')","tensor(8.2140, device='cuda:0')","tensor(14.9500, device='cuda:0')","tensor(0.1460, device='cuda:0')","tensor(0.6400, device='cuda:0')"
62,"tensor(0.2308, device='cuda:0')","tensor(0.6283, device='cuda:0')","tensor(8.2940, device='cuda:0')","tensor(17.7000, device='cuda:0')","tensor(0.1380, device='cuda:0')","tensor(0.6300, device='cuda:0')"
63,"tensor(0.2287, device='cuda:0')","tensor(0.5665, device='cuda:0')","tensor(7.9920, device='cuda:0')","tensor(16.7200, device='cuda:0')","tensor(0.1580, device='cuda:0')","tensor(0.6900, device='cuda:0')"
64,"tensor(0.2359, device='cuda:0')","tensor(0.5588, device='cuda:0')","tensor(8.2780, device='cuda:0')","tensor(16.3600, device='cuda:0')","tensor(0.1600, device='cuda:0')","tensor(0.4900, device='cuda:0')"
65,"tensor(0.2247, device='cuda:0')","tensor(0.4780, device='cuda:0')","tensor(7.9580, device='cuda:0')","tensor(14.2900, device='cuda:0')","tensor(0.1280, device='cuda:0')","tensor(0.6600, device='cuda:0')"
66,"tensor(0.2284, device='cuda:0')","tensor(0.4713, device='cuda:0')","tensor(8.0760, device='cuda:0')","tensor(14.3600, device='cuda:0')","tensor(0.1500, device='cuda:0')","tensor(0.6700, device='cuda:0')"
67,"tensor(0.2268, device='cuda:0')","tensor(0.5077, device='cuda:0')","tensor(7.9900, device='cuda:0')","tensor(14.7800, device='cuda:0')","tensor(0.1420, device='cuda:0')","tensor(0.5300, device='cuda:0')"
68,"tensor(0.2209, device='cuda:0')","tensor(0.4335, device='cuda:0')","tensor(7.7980, device='cuda:0')","tensor(13.5800, device='cuda:0')","tensor(0.1540, device='cuda:0')","tensor(0.5900, device='cuda:0')"
69,"tensor(0.2190, device='cuda:0')","tensor(0.5141, device='cuda:0')","tensor(7.7700, device='cuda:0')","tensor(15.1100, device='cuda:0')","tensor(0.1420, device='cuda:0')","tensor(0.6700, device='cuda:0')"
70,"tensor(0.2219, device='cuda:0')","tensor(0.4459, device='cuda:0')","tensor(7.8180, device='cuda:0')","tensor(14.0800, device='cuda:0')","tensor(0.1280, device='cuda:0')","tensor(0.5800, device='cuda:0')"
71,"tensor(0.2198, device='cuda:0')","tensor(0.4267, device='cuda:0')","tensor(7.7060, device='cuda:0')","tensor(13.4800, device='cuda:0')","tensor(0.1340, device='cuda:0')","tensor(0.5200, device='cuda:0')"
72,"tensor(0.2184, device='cuda:0')","tensor(0.4395, device='cuda:0')","tensor(7.5940, device='cuda:0')","tensor(13.4200, device='cuda:0')","tensor(0.1120, device='cuda:0')","tensor(0.5800, device='cuda:0')"
73,"tensor(0.2162, device='cuda:0')","tensor(0.4763, device='cuda:0')","tensor(7.6600, device='cuda:0')","tensor(14.5100, device='cuda:0')","tensor(0.1140, device='cuda:0')","tensor(0.7100, device='cuda:0')"
74,"tensor(0.2173, device='cuda:0')","tensor(0.5754, device='cuda:0')","tensor(7.6000, device='cuda:0')","tensor(16.2700, device='cuda:0')","tensor(0.1320, device='cuda:0')","tensor(0.4700, device='cuda:0')"
75,"tensor(0.2223, device='cuda:0')","tensor(0.5581, device='cuda:0')","tensor(8.0140, device='cuda:0')","tensor(16.0800, device='cuda:0')","tensor(0.1220, device='cuda:0')","tensor(0.7900, device='cuda:0')"
76,"tensor(0.2149, device='cuda:0')","tensor(0.4693, device='cuda:0')","tensor(7.5480, device='cuda:0')","tensor(14.1900, device='cuda:0')","tensor(0.1180, device='cuda:0')","tensor(0.6000, device='cuda:0')"
77,"tensor(0.2131, device='cuda:0')","tensor(0.5471, device='cuda:0')","tensor(7.5280, device='cuda:0')","tensor(15.6900, device='cuda:0')","tensor(0.0860, device='cuda:0')","tensor(0.5800, device='cuda:0')"
78,"tensor(0.2167, device='cuda:0')","tensor(0.5634, device='cuda:0')","tensor(7.6380, device='cuda:0')","tensor(15.5500, device='cuda:0')","tensor(0.1440, device='cuda:0')","tensor(0.7600, device='cuda:0')"
79,"tensor(0.2167, device='cuda:0')","tensor(0.4662, device='cuda:0')","tensor(7.5680, device='cuda:0')","tensor(14.3200, device='cuda:0')","tensor(0.1400, device='cuda:0')","tensor(0.4700, device='cuda:0')"
80,"tensor(0.2130, device='cuda:0')","tensor(0.4569, device='cuda:0')","tensor(7.5520, device='cuda:0')","tensor(14.0200, device='cuda:0')","tensor(0.0980, device='cuda:0')","tensor(0.5200, device='cuda:0')"
81,"tensor(0.2081, device='cuda:0')","tensor(0.4755, device='cuda:0')","tensor(7.2340, device='cuda:0')","tensor(13.7700, device='cuda:0')","tensor(0.1060, device='cuda:0')","tensor(0.4500, device='cuda:0')"
82,"tensor(0.1504, device='cuda:0')","tensor(0.3328, device='cuda:0')","tensor(5.1780, device='cuda:0')","tensor(10.3200, device='cuda:0')","tensor(0.0600, device='cuda:0')","tensor(0.3000, device='cuda:0')"
83,"tensor(0.1253, device='cuda:0')","tensor(0.3271, device='cuda:0')","tensor(4.2320, device='cuda:0')","tensor(10.0600, device='cuda:0')","tensor(0.0520, device='cuda:0')","tensor(0.2700, device='cuda:0')"
84,"tensor(0.1166, device='cuda:0')","tensor(0.3316, device='cuda:0')","tensor(3.9060, device='cuda:0')","tensor(10.1000, device='cuda:0')","tensor(0.0400, device='cuda:0')","tensor(0.3700, device='cuda:0')"
85,"tensor(0.1115, device='cuda:0')","tensor(0.3261, device='cuda:0')","tensor(3.7340, device='cuda:0')","tensor(9.8400, device='cuda:0')","tensor(0.0320, device='cuda:0')","tensor(0.3300, device='cuda:0')"
86,"tensor(0.1099, device='cuda:0')","tensor(0.3386, device='cuda:0')","tensor(3.5600, device='cuda:0')","tensor(10.2000, device='cuda:0')","tensor(0.0540, device='cuda:0')","tensor(0.3200, device='cuda:0')"
87,"tensor(0.1052, device='cuda:0')","tensor(0.3341, device='cuda:0')","tensor(3.4040, device='cuda:0')","tensor(9.7700, device='cuda:0')","tensor(0.0500, device='cuda:0')","tensor(0.3200, device='cuda:0')"
88,"tensor(0.1037, device='cuda:0')","tensor(0.3386, device='cuda:0')","tensor(3.4500, device='cuda:0')","tensor(10.0100, device='cuda:0')","tensor(0.0260, device='cuda:0')","tensor(0.3400, device='cuda:0')"
89,"tensor(0.0992, device='cuda:0')","tensor(0.3377, device='cuda:0')","tensor(3.2500, device='cuda:0')","tensor(10.1200, device='cuda:0')","tensor(0.0360, device='cuda:0')","tensor(0.2800, device='cuda:0')"
90,"tensor(0.0955, device='cuda:0')","tensor(0.3401, device='cuda:0')","tensor(3.2320, device='cuda:0')","tensor(10.0100, device='cuda:0')","tensor(0.0400, device='cuda:0')","tensor(0.3100, device='cuda:0')"
91,"tensor(0.0942, device='cuda:0')","tensor(0.3377, device='cuda:0')","tensor(3.1760, device='cuda:0')","tensor(10.0500, device='cuda:0')","tensor(0.0240, device='cuda:0')","tensor(0.3000, device='cuda:0')"
92,"tensor(0.0921, device='cuda:0')","tensor(0.3455, device='cuda:0')","tensor(3.0800, device='cuda:0')","tensor(10.2400, device='cuda:0')","tensor(0.0180, device='cuda:0')","tensor(0.3200, device='cuda:0')"
93,"tensor(0.0921, device='cuda:0')","tensor(0.3464, device='cuda:0')","tensor(3.0820, device='cuda:0')","tensor(10.2200, device='cuda:0')","tensor(0.0280, device='cuda:0')","tensor(0.3300, device='cuda:0')"
